,date,Ed Sheeran,Guns N' Roses,Coldplay,Metallica,Alphabet
166,2018-03-11,25,2,3,7,12
167,2018-03-18,20,0,4,8,27
168,2018-03-25,13,9,3,16,24
169,2018-04-01,23,7,5,7,14
170,2018-04-08,19,4,10,9,14
171,2018-04-15,18,0,4,17,27
172,2018-04-22,19,3,3,6,26
173,2018-04-29,15,11,0,6,18
174,2018-05-06,14,5,0,5,22
175,2018-05-13,15,0,0,6,19
176,2018-05-20,15,4,0,15,14
177,2018-05-27,15,3,0,8,21
178,2018-06-03,11,5,0,5,24
179,2018-06-10,17,4,0,6,13
180,2018-06-17,15,0,0,9,17
181,2018-06-24,13,5,0,9,14
182,2018-07-01,17,5,0,5,16
183,2018-07-08,9,7,0,6,22
184,2018-07-15,13,0,0,9,13
185,2018-07-22,17,6,0,8,13
186,2018-07-29,12,2,0,10,13
187,2018-08-05,16,6,0,7,15
188,2018-08-12,21,11,0,8,13
189,2018-08-19,18,3,0,7,12
190,2018-08-26,18,0,0,9,15
191,2018-09-02,19,5,0,8,18
192,2018-09-09,34,3,0,12,14
193,2018-09-16,24,7,0,12,20
194,2018-09-23,12,5,0,9,27
195,2018-09-30,13,0,0,8,25
196,2018-10-07,14,0,0,12,21
197,2018-10-14,11,3,0,12,22
198,2018-10-21,7,2,0,7,22
199,2018-10-28,9,4,0,9,21
200,2018-11-04,6,4,0,9,18
201,2018-11-11,10,7,0,15,16
202,2018-11-18,9,0,0,9,12
203,2018-11-25,14,0,0,3,21
204,2018-12-02,7,3,0,5,33
205,2018-12-09,6,0,0,9,18
206,2018-12-16,8,0,0,4,12
207,2018-12-23,17,0,0,4,21
208,2018-12-30,6,0,0,5,20
209,2019-01-06,0,0,0,0,0
210,2019-01-13,0,0,0,0,0
211,2019-01-20,0,0,0,0,0
212,2019-01-27,0,0,0,0,0
213,2019-02-03,0,0,0,0,0
214,2019-02-10,0,0,0,0,0
215,2019-02-17,0,0,0,0,0
216,2019-02-24,0,0,0,0,0
