,date,Ed Sheeran,Guns N' Roses,Coldplay,Metallica,Alphabet
166,2018-03-11,30,6,3,0,14
167,2018-03-18,20,3,6,10,19
168,2018-03-25,24,8,10,5,23
169,2018-04-01,19,0,6,6,29
170,2018-04-08,18,3,4,6,28
171,2018-04-15,24,6,6,8,21
172,2018-04-22,17,6,4,4,27
173,2018-04-29,23,9,3,5,23
174,2018-05-06,16,4,5,12,15
175,2018-05-13,14,6,4,6,12
176,2018-05-20,12,8,0,8,19
177,2018-05-27,10,5,3,3,21
178,2018-06-03,13,4,5,10,22
179,2018-06-10,8,6,7,11,18
180,2018-06-17,15,4,0,4,20
181,2018-06-24,15,5,3,6,18
182,2018-07-01,17,6,5,8,13
183,2018-07-08,16,13,3,7,12
184,2018-07-15,15,3,0,3,21
185,2018-07-22,17,6,6,2,14
186,2018-07-29,15,0,7,11,19
187,2018-08-05,19,5,4,9,19
188,2018-08-12,14,6,0,5,13
189,2018-08-19,25,0,0,8,15
190,2018-08-26,13,4,7,7,13
191,2018-09-02,28,0,7,15,29
192,2018-09-09,50,0,3,9,21
193,2018-09-16,43,0,4,15,23
194,2018-09-23,20,7,3,7,15
195,2018-09-30,10,5,0,6,20
196,2018-10-07,9,5,0,11,17
197,2018-10-14,18,7,2,13,22
198,2018-10-21,21,0,0,7,20
199,2018-10-28,13,4,6,13,23
200,2018-11-04,8,2,2,5,22
201,2018-11-11,10,5,0,5,14
202,2018-11-18,14,5,8,3,18
203,2018-11-25,8,5,4,10,20
204,2018-12-02,4,2,0,12,24
205,2018-12-09,9,3,0,12,20
206,2018-12-16,8,0,5,3,19
207,2018-12-23,9,0,5,0,5
208,2018-12-30,18,18,5,5,18
209,2019-01-06,17,7,8,17,23
210,2019-01-13,12,2,6,13,25
211,2019-01-20,6,0,7,7,15
212,2019-01-27,15,2,3,7,19
213,2019-02-03,13,4,6,5,22
214,2019-02-10,11,5,0,7,18
215,2019-02-17,15,0,0,3,21
216,2019-02-24,14,0,0,7,22
217,2019-03-03,0,7,5,4,21
218,2019-03-10,16,4,4,5,20
219,2019-03-17,13,8,6,17,28
220,2019-03-24,12,4,3,3,14
221,2019-03-31,13,0,3,6,11
222,2019-04-07,12,5,3,7,26
223,2019-04-14,12,3,4,10,18
224,2019-04-21,12,0,6,6,26
225,2019-04-28,7,7,4,7,15
226,2019-05-05,6,4,5,8,17
227,2019-05-12,14,3,0,7,20
228,2019-05-19,13,3,0,8,22
229,2019-05-26,11,6,8,12,23
230,2019-06-02,13,3,3,9,18
231,2019-06-09,9,0,4,7,18
232,2019-06-16,9,0,4,9,13
233,2019-06-23,20,0,0,11,18
234,2019-06-30,20,0,0,10,15
235,2019-07-07,41,4,4,9,13
236,2019-07-14,34,6,0,10,12
237,2019-07-21,16,0,4,9,15
238,2019-07-28,19,4,0,7,24
239,2019-08-04,16,8,0,10,12
240,2019-08-11,15,0,12,9,19
241,2019-08-18,18,0,0,9,16
242,2019-08-25,0,3,5,9,17
243,2019-09-01,13,7,8,9,24
244,2019-09-08,7,8,3,12,27
245,2019-09-15,17,7,6,11,30
246,2019-09-22,10,0,5,14,22
247,2019-09-29,13,0,4,6,24
248,2019-10-06,7,0,8,10,26
249,2019-10-13,11,0,6,6,23
250,2019-10-20,11,0,7,8,30
251,2019-10-27,6,0,3,6,25
252,2019-11-03,6,0,8,6,22
253,2019-11-10,16,0,5,6,18
254,2019-11-17,11,6,12,4,24
255,2019-11-24,5,4,0,10,28
256,2019-12-01,13,0,6,0,27
257,2019-12-08,10,5,4,0,19
258,2019-12-15,5,4,5,6,28
259,2019-12-22,18,3,0,8,15
260,2019-12-29,9,2,7,5,32
