,date,Ed Sheeran,Guns N' Roses,Coldplay,Metallica,Alphabet
166,2018-03-11,20,3,4,13,19
167,2018-03-18,15,3,2,7,22
168,2018-03-25,16,5,3,5,17
169,2018-04-01,12,3,3,7,17
170,2018-04-08,11,2,5,7,20
171,2018-04-15,14,3,3,7,18
172,2018-04-22,14,3,3,5,20
173,2018-04-29,13,6,4,5,17
174,2018-05-06,14,3,3,4,16
175,2018-05-13,15,4,2,4,13
176,2018-05-20,16,5,4,6,11
177,2018-05-27,11,3,2,6,13
178,2018-06-03,11,4,3,7,13
179,2018-06-10,11,3,2,6,13
180,2018-06-17,9,3,3,6,13
181,2018-06-24,16,3,3,5,14
182,2018-07-01,12,4,3,7,12
183,2018-07-08,10,3,2,6,14
184,2018-07-15,13,3,2,7,10
185,2018-07-22,13,4,3,6,13
186,2018-07-29,12,3,2,6,12
187,2018-08-05,9,4,3,8,13
188,2018-08-12,13,5,3,3,17
189,2018-08-19,15,4,2,6,25
190,2018-08-26,21,2,2,7,22
191,2018-09-02,76,2,0,6,23
192,2018-09-09,22,2,2,9,20
193,2018-09-16,13,3,3,5,20
194,2018-09-23,16,2,1,5,20
195,2018-09-30,17,3,1,5,18
196,2018-10-07,52,3,3,6,16
197,2018-10-14,44,2,3,9,17
198,2018-10-21,11,3,3,6,23
199,2018-10-28,9,4,2,6,21
200,2018-11-04,8,2,3,4,15
201,2018-11-11,5,4,3,5,19
202,2018-11-18,9,2,6,8,14
203,2018-11-25,7,2,3,8,18
204,2018-12-02,8,2,1,8,21
205,2018-12-09,6,4,3,7,17
206,2018-12-16,5,4,2,8,16
207,2018-12-23,7,4,2,5,16
208,2018-12-30,5,3,3,8,17
209,2019-01-06,6,3,1,7,17
210,2019-01-13,7,2,2,11,19
211,2019-01-20,5,3,3,8,18
212,2019-01-27,8,4,2,7,18
213,2019-02-03,8,3,3,7,19
214,2019-02-10,8,3,2,8,14
215,2019-02-17,8,4,2,8,17
