,date,Ed Sheeran,Guns N' Roses,Coldplay,Metallica,Alphabet
166,2018-03-11,18,3,4,9,21
167,2018-03-18,17,3,2,7,22
168,2018-03-25,16,2,4,8,23
169,2018-04-01,16,3,4,6,21
170,2018-04-08,15,3,5,8,22
171,2018-04-15,13,3,5,8,21
172,2018-04-22,14,4,3,7,22
173,2018-04-29,14,4,4,7,19
174,2018-05-06,12,3,4,7,24
175,2018-05-13,11,5,3,7,20
176,2018-05-20,14,4,4,6,21
177,2018-05-27,14,3,3,8,22
178,2018-06-03,13,3,4,8,23
179,2018-06-10,11,4,4,5,22
180,2018-06-17,12,2,4,6,21
181,2018-06-24,16,5,4,7,16
182,2018-07-01,15,5,4,7,17
183,2018-07-08,14,3,4,6,18
184,2018-07-15,13,4,3,7,16
185,2018-07-22,11,3,3,7,23
186,2018-07-29,14,3,4,8,19
187,2018-08-05,13,3,3,6,18
188,2018-08-12,14,3,4,7,17
189,2018-08-19,41,2,5,6,19
190,2018-08-26,61,3,3,8,18
191,2018-09-02,14,3,2,9,22
192,2018-09-09,12,1,4,7,23
193,2018-09-16,11,2,2,7,26
194,2018-09-23,11,3,3,7,24
195,2018-09-30,10,3,2,5,24
196,2018-10-07,7,2,3,7,19
197,2018-10-14,8,4,4,7,21
198,2018-10-21,10,1,2,6,25
199,2018-10-28,9,3,2,7,19
200,2018-11-04,9,3,4,8,23
201,2018-11-11,9,4,5,7,23
202,2018-11-18,7,4,5,10,21
203,2018-11-25,7,3,4,16,24
204,2018-12-02,8,2,4,28,23
205,2018-12-09,9,3,4,9,21
206,2018-12-16,8,2,3,6,21
207,2018-12-23,9,2,1,8,16
208,2018-12-30,8,2,5,6,19
209,2019-01-06,7,2,3,6,22
210,2019-01-13,9,3,4,5,22
211,2019-01-20,9,3,4,6,23
212,2019-01-27,7,3,3,5,27
213,2019-02-03,7,4,3,6,22
214,2019-02-10,8,2,3,5,25
215,2019-02-17,10,3,4,6,20
216,2019-02-24,8,2,3,5,18
217,2019-03-03,6,3,3,7,19
218,2019-03-10,5,2,3,7,21
219,2019-03-17,7,5,4,8,22
220,2019-03-24,8,4,2,8,19
221,2019-03-31,7,3,3,8,21
222,2019-04-07,8,3,3,8,24
223,2019-04-14,7,3,5,7,21
224,2019-04-21,7,3,3,9,24
225,2019-04-28,7,3,4,8,23
226,2019-05-05,10,2,0,7,21
227,2019-05-12,12,4,3,8,24
228,2019-05-19,11,2,3,5,22
229,2019-05-26,12,2,4,6,20
230,2019-06-02,10,3,3,8,23
231,2019-06-09,11,3,2,6,20
232,2019-06-16,12,5,2,7,18
233,2019-06-23,11,3,3,6,18
234,2019-06-30,14,4,3,5,17
235,2019-07-07,26,2,4,5,19
236,2019-07-14,21,2,3,7,18
237,2019-07-21,14,3,2,7,20
238,2019-07-28,12,2,3,8,19
239,2019-08-04,12,2,3,6,15
240,2019-08-11,10,2,2,6,19
241,2019-08-18,8,4,2,7,16
242,2019-08-25,11,3,3,7,21
243,2019-09-01,11,2,4,8,21
244,2019-09-08,11,3,5,6,25
245,2019-09-15,7,3,3,6,22
246,2019-09-22,10,3,3,9,24
247,2019-09-29,11,2,2,9,24
248,2019-10-06,9,3,3,9,21
249,2019-10-13,8,3,2,9,23
250,2019-10-20,9,2,6,5,25
251,2019-10-27,9,4,5,5,28
252,2019-11-03,7,4,9,6,27
253,2019-11-10,9,3,6,5,25
254,2019-11-17,8,2,8,6,24
255,2019-11-24,8,2,5,5,19
256,2019-12-01,7,4,4,6,23
257,2019-12-08,8,2,4,8,23
258,2019-12-15,6,4,4,5,24
259,2019-12-22,10,2,5,8,14
260,2019-12-29,10,2,2,4,17
