,date,Ed Sheeran,Guns N' Roses,Coldplay,Metallica,The Rolling Stones,Pink,U2,Bruno Mars
0,2015-01-04,1.2758620689655173,0.0,0.5454545454545454,0.6551724137931034,0.9655172413793104,2.206896551724138,0.0,1.0344827586206897
1,2015-01-11,1.2083333333333333,0.0,0.0,0.2708333333333333,0.0,0.0,0.0,0.4583333333333333
2,2015-01-18,0.75,0.0,0.0,1.5416666666666667,0.0,0.0,0.6666666666666666,1.5833333333333333
3,2015-01-25,1.3125,0.875,0.0,0.0,0.0,1.1875,1.0625,1.0
4,2015-02-01,2.4705882352941178,0.9411764705882353,0.0,1.0,0.0,0.0,1.0,1.7058823529411764
5,2015-02-08,inf,,,,inf,,,inf
6,2015-02-15,1.3529411764705883,0.0,0.64,0.0,0.47058823529411764,0.8823529411764706,0.35294117647058826,1.1470588235294117
7,2015-02-22,0.7101449275362319,0.0,0.0,0.0,0.0,0.0,0.21739130434782608,0.18840579710144928
8,2015-03-01,1.8461538461538463,0.0,0.0,0.0,0.0,0.0,0.7307692307692307,1.0
9,2015-03-08,0.7407407407407407,0.0,0.0,0.0,0.5185185185185185,0.0,0.0,1.1111111111111112
10,2015-03-15,2.869565217391304,0.5652173913043478,0.0,0.6086956521739131,0.0,0.0,0.8695652173913043,2.4347826086956523
11,2015-03-22,inf,,,inf,inf,inf,,
12,2015-03-29,0.0,0.0,0.0,1.2424242424242424,0.6666666666666666,0.0,0.3939393939393939,1.2121212121212122
13,2015-04-05,0.5333333333333333,0.0,0.0,0.28888888888888886,0.0,0.28888888888888886,0.7777777777777778,0.0
14,2015-04-12,1.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15,2015-04-19,1.4,0.0,0.8666666666666667,0.0,1.1,0.0,2.7,0.0
16,2015-04-26,0.75,0.0,1.4166666666666667,1.4375,0.0,1.0625,0.0,0.0
17,2015-05-03,2.0,0.9375,0.0,1.75,0.0,0.0,0.0,1.1875
18,2015-05-10,0.0,0.0,0.1836734693877551,1.0303030303030303,0.4696969696969697,0.0,0.30303030303030304,0.0
19,2015-05-17,0.6216216216216216,0.0,0.0,0.0,0.0,0.40540540540540543,0.0,1.2162162162162162
20,2015-05-24,1.368421052631579,0.0,1.9285714285714286,1.263157894736842,0.6842105263157895,0.0,1.5263157894736843,0.0
21,2015-05-31,0.8928571428571429,0.0,0.47619047619047616,0.6428571428571429,0.0,0.0,0.7142857142857143,0.0
22,2015-06-07,0.9523809523809523,0.0,0.0,0.0,1.1904761904761905,1.2857142857142858,2.857142857142857,1.2857142857142858
23,2015-06-14,,,inf,,,inf,,inf
24,2015-06-21,2.03125,0.46875,0.0,1.1875,0.0,0.4375,0.0,0.0
25,2015-06-28,2.9285714285714284,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2015-07-05,0.3611111111111111,0.8055555555555556,0.6666666666666666,0.4722222222222222,0.6388888888888888,0.0,0.0,0.0
27,2015-07-12,1.6666666666666667,0.0,0.0,0.48484848484848486,0.0,0.6060606060606061,0.0,0.8181818181818182
28,2015-07-19,1.4444444444444444,0.0,0.6153846153846154,0.5833333333333334,0.3611111111111111,0.0,0.0,0.0
29,2015-07-26,0.7647058823529411,0.8529411764705882,1.0,0.0,0.0,0.4117647058823529,0.0,0.38235294117647056
30,2015-08-02,0.0,0.0,0.0,0.0,0.0,0.4642857142857143,0.0,0.30357142857142855
31,2015-08-09,0.0,0.0,1.0,0.6666666666666666,0.0,0.0,0.0,1.5
32,2015-08-16,0.75,0.0,0.0,0.30357142857142855,0.3392857142857143,0.26785714285714285,0.6785714285714286,0.44642857142857145
33,2015-08-23,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34,2015-08-30,0.45454545454545453,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182
35,2015-09-06,0.0,0.8421052631578947,1.7142857142857142,0.8421052631578947,0.0,1.105263157894737,0.0,0.0
36,2015-09-13,0.25,0.0,0.0,0.36363636363636365,0.29545454545454547,0.0,0.0,0.7045454545454546
37,2015-09-20,0.0,0.6041666666666666,0.0,0.0,0.0,0.3958333333333333,0.0,0.0
38,2015-09-27,0.6571428571428571,0.0,0.0,0.6285714285714286,0.0,0.0,0.0,0.45714285714285713
39,2015-10-04,1.3666666666666667,0.0,0.0,0.6666666666666666,1.0,0.0,0.8,2.1333333333333333
40,2015-10-11,0.0,1.8823529411764706,0.0,0.0,0.0,0.0,0.0,0.0
41,2015-10-18,0.8709677419354839,0.6129032258064516,0.4782608695652174,0.7741935483870968,0.0,0.0,0.3870967741935484,0.6774193548387096
42,2015-10-25,0.45,0.0,0.36666666666666664,0.0,0.375,0.0,0.0,0.475
43,2015-11-01,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0
44,2015-11-08,0.0,0.8181818181818182,0.0,0.0,0.5,0.0,0.0,0.0
45,2015-11-15,0.5,0.0,0.0,0.0,0.0,1.8,2.95,0.6
46,2015-11-22,inf,,,,inf,,,
47,2015-11-29,0.9375,0.0,1.9166666666666667,1.75,2.4375,1.0,0.0,0.0
48,2015-12-06,0.4375,0.0,2.9166666666666665,0.0,0.34375,0.5625,0.53125,0.375
49,2015-12-13,0.17,0.15,0.2702702702702703,0.21,0.0,0.0,0.0,0.0
50,2015-12-20,0.0,0.0,0.0,0.7368421052631579,0.0,0.0,0.0,0.0
51,2015-12-27,1.0555555555555556,2.4444444444444446,0.0,0.0,0.6111111111111112,0.0,0.0,0.0
