,date,Ed Sheeran,Guns N' Roses,Coldplay,Metallica,The Rolling Stones,Pink,U2,Bruno Mars
0,2015-01-04,1.205128205128205,0.6923076923076923,0.5,0.39285714285714285,0.0,0.0,0.0,1.0377358490566038
1,2015-01-11,1.3488372093023255,0.0,0.0,0.0,0.0,0.0,0.5142857142857142,0.8571428571428571
2,2015-01-18,1.7857142857142858,0.0,0.0,0.85,0.75,0.0,0.0,0.8421052631578947
3,2015-01-25,1.0454545454545454,0.0,0.9411764705882353,0.0,0.3783783783783784,0.75,0.0,1.5666666666666667
4,2015-02-01,0.8333333333333334,0.0,0.0,0.9591836734693877,0.6206896551724138,0.0,0.0,1.0425531914893618
5,2015-02-08,2.022727272727273,0.19736842105263158,0.0,0.0,0.18421052631578946,0.0,0.2894736842105263,0.3064516129032258
6,2015-02-15,1.6136363636363635,0.0,0.4117647058823529,0.0,0.7945205479452054,0.2777777777777778,0.0,0.5084745762711864
7,2015-02-22,0.225,0.0,0.0,0.0,0.7846153846153846,0.0,0.0,0.4339622641509434
8,2015-03-01,0.3488372093023256,0.0,0.0,0.32786885245901637,0.0,0.0,0.0,0.3448275862068966
9,2015-03-08,0.9333333333333333,0.0,0.0,0.0,1.96,0.0,1.0,0.95
10,2015-03-15,0.7272727272727273,0.0,1.4705882352941178,0.0,0.4444444444444444,0.7714285714285715,0.6111111111111112,1.6551724137931034
11,2015-03-22,1.8333333333333333,0.8,1.368421052631579,0.38235294117647056,0.0,0.5,0.9,1.0625
12,2015-03-29,0.0,0.0,0.3888888888888889,0.0,0.48717948717948717,0.0,0.0,0.9375
13,2015-04-05,0.3902439024390244,0.0,0.0,0.21052631578947367,0.9242424242424242,0.23076923076923078,0.0,0.37037037037037035
14,2015-04-12,0.22916666666666666,0.27848101265822783,0.0,0.4411764705882353,0.3291139240506329,0.1794871794871795,0.3291139240506329,0.4
15,2015-04-19,0.6285714285714286,0.3333333333333333,0.5185185185185185,0.0,0.0,0.0,0.38596491228070173,0.0
16,2015-04-26,0.5869565217391305,0.33766233766233766,0.2777777777777778,0.0,0.2857142857142857,0.0,0.0,0.36507936507936506
17,2015-05-03,0.9393939393939394,0.6545454545454545,0.0,0.0,0.2727272727272727,0.0,0.6,0.4444444444444444
18,2015-05-10,0.782608695652174,0.0,0.8888888888888888,0.75,0.0,0.0,1.0789473684210527,0.0
19,2015-05-17,0.5483870967741935,0.0,0.7391304347826086,0.1744186046511628,0.15,0.24242424242424243,0.0,0.0
20,2015-05-24,0.8,1.5757575757575757,0.0,0.0,1.1818181818181819,0.0,0.5757575757575758,0.9259259259259259
21,2015-05-31,0.0,0.0,0.0,0.0,0.9393939393939394,0.0,1.3636363636363635,1.037037037037037
22,2015-06-07,0.0,0.0,0.0,0.0,1.0425531914893618,0.5652173913043478,0.5957446808510638,0.6842105263157895
23,2015-06-14,inf,,inf,inf,,inf,,inf
24,2015-06-21,1.0,0.0,0.35,0.5405405405405406,0.4090909090909091,0.0,0.45454545454545453,0.4
25,2015-06-28,1.2258064516129032,0.0,0.34782608695652173,0.0,0.2857142857142857,0.0,0.0,0.0
26,2015-07-05,inf,,,,inf,inf,inf,
27,2015-07-12,0.0,0.7037037037037037,0.0,0.0,0.0,0.0,0.0,0.0
28,2015-07-19,0.5740740740740741,0.0,0.2619047619047619,0.0,0.0,0.0,0.5934065934065934,0.5
29,2015-07-26,0.0,0.0,0.0,2.0,1.04,1.04,0.0,0.0
30,2015-08-02,0.8928571428571429,0.0,0.0,0.46153846153846156,0.0,0.5227272727272727,0.5777777777777777,0.0
31,2015-08-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375
32,2015-08-16,0.7575757575757576,0.0,0.0,0.0,0.0,0.0,0.0,0.6744186046511628
33,2015-08-23,0.8780487804878049,0.0,0.0,0.40350877192982454,0.0,0.24242424242424243,0.2878787878787879,0.2777777777777778
34,2015-08-30,0.21739130434782608,0.0,0.0,0.0,0.0,0.0,0.0,0.20967741935483872
35,2015-09-06,0.5172413793103449,0.0,0.0,0.0,0.375,0.0,0.5208333333333334,0.0
36,2015-09-13,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.3088235294117647
37,2015-09-20,0.7,0.42857142857142855,0.0,0.2619047619047619,0.0,0.0,0.0,0.6
38,2015-09-27,1.5,0.0,0.6,2.2962962962962963,0.0,0.5483870967741935,0.0,0.9230769230769231
39,2015-10-04,0.42105263157894735,0.0,0.13636363636363635,0.5925925925925926,0.0,0.0,0.0,0.12987012987012986
40,2015-10-11,0.425,0.5909090909090909,0.9,0.0,0.0,0.2923076923076923,0.0,0.37735849056603776
41,2015-10-18,0.875,0.0,0.3783783783783784,0.36764705882352944,0.0,0.1794871794871795,0.0,0.1875
42,2015-10-25,0.36666666666666664,0.52,0.0,0.0,0.86,0.0,0.0,0.0
43,2015-11-01,0.6388888888888888,0.4,0.0,0.4423076923076923,0.25,0.0,0.0,0.3673469387755102
44,2015-11-08,0.46938775510204084,0.0,0.47368421052631576,0.2,0.32098765432098764,0.0,0.19753086419753085,0.0
45,2015-11-15,0.28,0.43902439024390244,0.3157894736842105,0.5714285714285714,0.0,0.5,0.0,0.8181818181818182
46,2015-11-22,0.0,0.4074074074074074,0.56,0.0,0.48148148148148145,0.0,0.37037037037037035,0.3409090909090909
47,2015-11-29,0.0,0.0,0.6428571428571429,0.0,0.0,0.3050847457627119,0.0,0.0
48,2015-12-06,0.5789473684210527,0.2222222222222222,0.5172413793103449,0.0,0.30158730158730157,0.20967741935483872,0.4444444444444444,0.37254901960784315
