,date,Ed Sheeran,Guns N' Roses,Coldplay,Metallica,The Rolling Stones,Pink,U2,Bruno Mars
0,2015-01-04,1.25,0.14705882352941177,0.23809523809523808,0.30434782608695654,0.20634920634920634,0.19047619047619047,0.2972972972972973,0.9166666666666666
1,2015-01-11,1.1891891891891893,0.14285714285714285,0.2727272727272727,0.3333333333333333,0.18181818181818182,0.18181818181818182,0.2894736842105263,1.16
2,2015-01-18,1.4705882352941178,0.15151515151515152,0.3,0.3181818181818182,0.1935483870967742,0.1935483870967742,0.2777777777777778,1.125
3,2015-01-25,1.2926829268292683,0.07692307692307693,0.25,0.23076923076923078,0.19444444444444445,0.1388888888888889,0.2619047619047619,1.1071428571428572
4,2015-02-01,1.1842105263157894,0.11428571428571428,0.2857142857142857,0.30434782608695654,0.18461538461538463,0.2,0.23684210526315788,1.36
5,2015-02-08,3.225806451612903,0.16129032258064516,0.3684210526315789,0.4,0.21052631578947367,0.21052631578947367,0.30303030303030304,1.1818181818181819
6,2015-02-15,2.212121212121212,0.12121212121212122,0.3,0.3181818181818182,0.26229508196721313,0.19672131147540983,0.3142857142857143,1.0416666666666667
7,2015-02-22,2.1515151515151514,0.15625,0.25,0.2857142857142857,0.2,0.2,0.2571428571428571,1.0869565217391304
8,2015-03-01,1.7058823529411764,0.12121212121212122,0.25,0.3181818181818182,0.19672131147540983,0.16393442622950818,0.25,0.8333333333333334
9,2015-03-08,1.3055555555555556,0.14705882352941177,0.23809523809523808,0.36363636363636365,0.27419354838709675,0.16129032258064516,0.2777777777777778,0.8333333333333334
10,2015-03-15,0.9487179487179487,0.1111111111111111,0.22727272727272727,0.3333333333333333,0.29850746268656714,0.14925373134328357,0.28205128205128205,0.7692307692307693
11,2015-03-22,1.15625,0.125,0.3,0.38095238095238093,0.25,0.23333333333333334,0.2571428571428571,0.9130434782608695
12,2015-03-29,1.1875,0.16666666666666666,0.2777777777777778,0.3,0.9642857142857143,0.23214285714285715,0.25,1.0
13,2015-04-05,1.46875,0.16129032258064516,0.3157894736842105,0.3333333333333333,0.8793103448275862,0.1896551724137931,0.30303030303030304,0.6818181818181818
14,2015-04-12,1.0303030303030303,0.16129032258064516,0.2631578947368421,0.4,0.6666666666666666,0.40350877192982454,0.24242424242424243,0.6818181818181818
15,2015-04-19,1.0,0.16666666666666666,0.2777777777777778,0.4,0.43636363636363634,0.21818181818181817,0.28125,0.6190476190476191
16,2015-04-26,0.8857142857142857,0.15151515151515152,0.25,0.2727272727272727,0.3114754098360656,0.14754098360655737,0.19444444444444445,0.625
17,2015-05-03,1.4705882352941178,0.18181818181818182,0.25,0.3181818181818182,0.31666666666666665,0.16666666666666666,0.4857142857142857,0.5652173913043478
18,2015-05-10,0.8378378378378378,0.16666666666666666,0.22727272727272727,0.5,0.3333333333333333,0.15151515151515152,0.5263157894736842,0.5384615384615384
19,2015-05-17,1.5806451612903225,0.20689655172413793,0.3333333333333333,0.47368421052631576,0.46296296296296297,0.2037037037037037,0.4838709677419355,0.7142857142857143
20,2015-05-24,1.0333333333333334,0.13793103448275862,0.3333333333333333,0.5263157894736842,0.6111111111111112,0.18518518518518517,0.6774193548387096,0.6190476190476191
21,2015-05-31,1.1724137931034482,0.17857142857142858,0.35294117647058826,0.7894736842105263,1.3076923076923077,0.15384615384615385,0.4666666666666667,0.7
22,2015-06-07,1.1333333333333333,0.17857142857142858,0.35294117647058826,0.6842105263157895,1.150943396226415,0.18867924528301888,0.3870967741935484,0.65
23,2015-06-14,1.5357142857142858,0.18518518518518517,0.29411764705882354,0.4444444444444444,0.44,0.2,0.27586206896551724,0.6842105263157895
24,2015-06-21,1.1851851851851851,0.23076923076923078,0.375,0.47058823529411764,0.4489795918367347,0.22448979591836735,0.39285714285714285,0.631578947368421
25,2015-06-28,1.3214285714285714,0.18518518518518517,0.25,0.3888888888888889,0.4489795918367347,0.16326530612244897,0.41379310344827586,0.631578947368421
26,2015-07-05,1.2962962962962963,0.23076923076923078,0.3125,0.47058823529411764,0.3958333333333333,0.16666666666666666,0.32142857142857145,0.6666666666666666
27,2015-07-12,1.1153846153846154,0.20833333333333334,0.3333333333333333,0.4375,0.3111111111111111,0.2222222222222222,0.38461538461538464,0.5882352941176471
28,2015-07-19,1.36,0.21739130434782608,0.42857142857142855,0.375,0.3409090909090909,0.20454545454545456,0.44,0.7058823529411765
29,2015-07-26,1.0714285714285714,0.18518518518518517,0.29411764705882354,0.4444444444444444,0.28,0.18,0.3448275862068966,0.5263157894736842
30,2015-08-02,1.12,0.16666666666666666,0.26666666666666666,0.5625,0.25,0.2727272727272727,0.3076923076923077,0.5882352941176471
31,2015-08-09,0.6666666666666666,0.07407407407407407,0.18181818181818182,0.19444444444444445,0.14,0.13,0.1206896551724138,0.2564102564102564
32,2015-08-16,1.0512820512820513,0.16216216216216217,0.21739130434782608,0.28,0.17391304347826086,0.17391304347826086,0.175,0.3333333333333333
33,2015-08-23,0.8333333333333334,0.10869565217391304,0.14285714285714285,0.25806451612903225,0.16470588235294117,0.1411764705882353,0.16,0.2727272727272727
34,2015-08-30,1.2641509433962264,0.09803921568627451,0.12903225806451613,0.17647058823529413,0.11702127659574468,0.13829787234042554,0.14545454545454545,0.3055555555555556
35,2015-09-06,0.9302325581395349,0.14634146341463414,0.16,0.2962962962962963,0.16883116883116883,0.23376623376623376,0.15555555555555556,0.3333333333333333
36,2015-09-13,0.5952380952380952,0.125,0.16,0.25925925925925924,0.16,0.18666666666666668,0.13636363636363635,0.27586206896551724
