,date,Ed Sheeran,Guns N' Roses,Coldplay,Metallica,The Rolling Stones,Pink,U2,Bruno Mars
0,2015-01-04,1.5,0.17647058823529413,0.2631578947368421,0.25925925925925924,0.3076923076923077,0.24242424242424243,0.3333333333333333,0.8
1,2015-01-11,1.6363636363636365,0.17647058823529413,0.21052631578947367,0.25,0.2962962962962963,0.21212121212121213,0.4,1.1923076923076923
2,2015-01-18,1.608695652173913,0.16666666666666666,0.3,0.3103448275862069,0.25,0.2,0.375,0.9259259259259259
3,2015-01-25,1.8571428571428572,0.1875,0.2222222222222222,0.34615384615384615,0.32,0.28125,0.3448275862068966,1.0
4,2015-02-01,1.5454545454545454,0.17647058823529413,0.2631578947368421,0.25,0.2222222222222222,0.2727272727272727,0.3225806451612903,1.1923076923076923
5,2015-02-08,3.9565217391304346,0.16666666666666666,0.3,0.3103448275862069,0.32142857142857145,0.22857142857142856,0.28125,0.8888888888888888
6,2015-02-15,2.15,0.125,0.29411764705882354,0.24,0.4166666666666667,0.2,0.37037037037037035,0.9565217391304348
7,2015-02-22,2.409090909090909,0.11764705882352941,0.21052631578947367,0.2962962962962963,0.2692307692307692,0.30303030303030304,0.23333333333333334,0.88
8,2015-03-01,1.6363636363636365,0.11764705882352941,0.2631578947368421,0.32142857142857145,0.25925925925925924,0.2727272727272727,0.26666666666666666,0.6538461538461539
9,2015-03-08,1.4285714285714286,0.23529411764705882,0.2222222222222222,0.2962962962962963,0.6538461538461539,0.1875,0.3448275862068966,0.68
10,2015-03-15,1.2857142857142858,0.125,0.2777777777777778,0.3076923076923077,0.72,0.22580645161290322,0.35714285714285715,0.7083333333333334
11,2015-03-22,1.0434782608695652,0.1111111111111111,0.2,0.2857142857142857,0.5185185185185185,0.3235294117647059,0.22580645161290322,0.7692307692307693
12,2015-03-29,1.1578947368421053,0.2,0.25,0.375,1.8695652173913044,0.2857142857142857,0.38461538461538464,0.7272727272727273
13,2015-04-05,1.2857142857142858,0.17647058823529413,0.2777777777777778,0.2962962962962963,1.4230769230769231,0.1875,0.27586206896551724,0.56
14,2015-04-12,1.05,0.1875,0.16666666666666666,0.2692307692307692,1.04,0.5161290322580645,0.32142857142857145,0.5
15,2015-04-19,0.8636363636363636,0.23529411764705882,0.16666666666666666,0.3333333333333333,0.5769230769230769,0.25,0.26666666666666666,0.48
16,2015-04-26,0.8947368421052632,0.2,0.35294117647058826,0.20833333333333334,0.5652173913043478,0.27586206896551724,0.34615384615384615,0.5
17,2015-05-03,1.2941176470588236,0.23076923076923078,0.2857142857142857,0.42857142857142855,0.55,0.2,0.6956521739130435,0.55
18,2015-05-10,1.8,0.2,0.29411764705882354,0.28,0.5416666666666666,0.16666666666666666,0.7777777777777778,0.5217391304347826
19,2015-05-17,2.125,0.3076923076923077,0.5,0.4,0.85,0.24,0.6818181818181818,0.7368421052631579
20,2015-05-24,1.7142857142857142,0.25,0.3333333333333333,0.2692307692307692,0.96,0.12903225806451613,0.7241379310344828,0.4166666666666667
21,2015-05-31,1.4,0.1875,0.35294117647058826,0.44,0.9166666666666666,0.26666666666666666,0.5,0.5
22,2015-06-07,1.2105263157894737,0.2,0.4117647058823529,0.3333333333333333,1.173913043478261,0.20689655172413793,0.5384615384615384,0.5454545454545454
23,2015-06-14,1.7647058823529411,0.07692307692307693,0.3333333333333333,0.45454545454545453,2.4285714285714284,0.15384615384615385,0.5,0.45
24,2015-06-21,1.3529411764705883,0.23076923076923078,0.2857142857142857,0.47619047619047616,1.95,0.28,0.391304347826087,0.3684210526315789
25,2015-06-28,1.2222222222222223,0.14285714285714285,0.26666666666666666,0.4090909090909091,0.7142857142857143,0.25925925925925924,0.4166666666666667,0.42857142857142855
26,2015-07-05,1.0526315789473684,0.13333333333333333,0.375,0.25,0.7391304347826086,0.20689655172413793,0.5769230769230769,0.4090909090909091
27,2015-07-12,0.8333333333333334,0.21428571428571427,0.3125,0.34782608695652173,0.5,0.14285714285714285,0.6,0.42857142857142855
28,2015-07-19,0.9,0.125,0.35294117647058826,0.32,0.5416666666666666,0.26666666666666666,0.7142857142857143,0.4782608695652174
29,2015-07-26,1.0,0.23076923076923078,0.2,0.2727272727272727,0.38095238095238093,0.23076923076923078,0.7916666666666666,0.5
30,2015-08-02,1.2666666666666666,0.25,0.3076923076923077,0.47368421052631576,0.4444444444444444,0.36363636363636365,0.55,0.47058823529411764
31,2015-08-09,0.6666666666666666,0.14285714285714285,0.12903225806451613,0.13333333333333333,0.18181818181818182,0.10909090909090909,0.12,0.16666666666666666
32,2015-08-16,1.12,0.10526315789473684,0.2857142857142857,0.25806451612903225,0.3333333333333333,0.1891891891891892,0.17647058823529413,0.32142857142857145
33,2015-08-23,0.7391304347826086,0.2222222222222222,0.3,0.2413793103448276,0.35714285714285715,0.11428571428571428,0.25,0.14814814814814814
34,2015-08-30,0.5142857142857142,0.1111111111111111,0.16666666666666666,0.18604651162790697,0.16666666666666666,0.11538461538461539,0.14583333333333334,0.25
35,2015-09-06,0.6206896551724138,0.17391304347826086,0.2,0.21621621621621623,0.22857142857142856,0.2727272727272727,0.2,0.29411764705882354
36,2015-09-13,0.5517241379310345,0.13043478260869565,0.24,0.21621621621621623,0.2222222222222222,0.13636363636363635,0.175,0.17647058823529413
37,2015-09-20,0.75,0.21052631578947367,0.19047619047619047,0.26666666666666666,0.13793103448275862,0.1111111111111111,0.21212121212121213,0.25
38,2015-09-27,0.7931034482758621,0.13043478260869565,0.28,0.21621621621621623,0.22857142857142856,0.1590909090909091,0.175,0.23529411764705882
