,Tour,Artist,Date,City,State,Attendance (Avg.),Revenue (Avg.),Quarter,Count
0,÷ Tour,Ed Sheeran,2017-06-29,Kansas City,Missouri,13382.0,1217313.0,2017:Q2,1.0
1,÷ Tour,Ed Sheeran,2017-06-30,Des Moines,Iowa,13375.0,1078939.0,2017:Q2,1.0
2,÷ Tour,Ed Sheeran,2017-07-01,Saint Paul,Minnesota,14938.0,1375063.0,2017:Q3,1.0
3,÷ Tour,Ed Sheeran,2017-07-09,Buffalo,New York,14305.0,1167095.0,2017:Q3,1.0
4,÷ Tour,Ed Sheeran,2017-07-11,Philadelphia,Pennsylvania,14461.0,1315130.0,2017:Q3,1.0
5,÷ Tour,Ed Sheeran,2017-07-12,Philadelphia,Pennsylvania,14461.0,1315130.0,2017:Q3,1.0
6,÷ Tour,Ed Sheeran,2017-07-14,Uncasville,Connecticut,7443.0,539582.0,2017:Q3,1.0
7,÷ Tour,Ed Sheeran,2017-07-15,Uncasville,Connecticut,7443.0,539582.0,2017:Q3,1.0
8,÷ Tour,Ed Sheeran,2017-07-29,Tacoma,Washington,19538.0,1575039.0,2017:Q3,1.0
9,÷ Tour,Ed Sheeran,2017-07-30,Portland,Oregon,13420.0,1074959.0,2017:Q3,1.0
10,÷ Tour,Ed Sheeran,2017-08-01,Sacramento,California,13424.0,1220937.0,2017:Q3,1.0
11,÷ Tour,Ed Sheeran,2017-08-02,Oakland,California,13662.0,1219722.0,2017:Q3,1.0
12,÷ Tour,Ed Sheeran,2017-08-04,Las Vegas,Nevada,15243.0,1326231.0,2017:Q3,1.0
13,÷ Tour,Ed Sheeran,2017-08-05,Glendale,Arizona,13654.0,1239478.0,2017:Q3,1.0
14,÷ Tour,Ed Sheeran,2017-08-06,San Diego,California,10233.0,917154.0,2017:Q3,1.0
15,÷ Tour,Ed Sheeran,2017-08-10,Los Angeles,California,13577.0,1207401.0,2017:Q3,1.0
16,÷ Tour,Ed Sheeran,2017-08-11,Los Angeles,California,13577.0,1207401.0,2017:Q3,1.0
17,÷ Tour,Ed Sheeran,2017-08-12,Los Angeles,California,13577.0,1207401.0,2017:Q3,1.0
18,÷ Tour,Ed Sheeran,2017-08-15,Denver,Colorado,12917.0,1159523.0,2017:Q3,1.0
19,÷ Tour,Ed Sheeran,2017-08-17,Tulsa,Oklahoma,12069.0,961178.0,2017:Q3,1.0
20,÷ Tour,Ed Sheeran,2017-08-18,Dallas,Texas,13632.0,1207645.0,2017:Q3,1.0
21,÷ Tour,Ed Sheeran,2017-08-19,Houston,Texas,11811.0,1067592.0,2017:Q3,1.0
22,÷ Tour,Ed Sheeran,2017-08-22,San Antonio,Texas,13928.0,1112573.0,2017:Q3,1.0
23,÷ Tour,Ed Sheeran,2017-08-25,Duluth,Georgia,10528.0,985058.0,2017:Q3,1.0
24,÷ Tour,Ed Sheeran,2017-08-26,Duluth,Georgia,10528.0,985058.0,2017:Q3,1.0
25,÷ Tour,Ed Sheeran,2017-08-29,Tampa,Florida,13459.0,1076537.0,2017:Q3,1.0
26,÷ Tour,Ed Sheeran,2017-08-30,Miami,Florida,12813.0,1144534.0,2017:Q3,1.0
27,÷ Tour,Ed Sheeran,2017-08-31,Orlando,Florida,12360.0,1007408.0,2017:Q3,1.0
28,÷ Tour,Ed Sheeran,2017-09-02,Raleigh,North Carolina,13805.0,1134012.0,2017:Q3,1.0
29,÷ Tour,Ed Sheeran,2017-09-03,Charlotte,North Carolina,13927.0,1243772.0,2017:Q3,1.0
30,÷ Tour,Ed Sheeran,2017-09-05,North Charleston,South Carolina,8271.0,673758.0,2017:Q3,1.0
31,÷ Tour,Ed Sheeran,2017-09-07,Louisville,Kentucky,15721.0,1257529.0,2017:Q3,1.0
32,÷ Tour,Ed Sheeran,2017-09-08,Indianapolis,Indiana,12740.0,1014966.0,2017:Q3,1.0
33,÷ Tour,Ed Sheeran,2017-09-09,Cleveland,Ohio,14912.0,1365524.0,2017:Q3,1.0
34,÷ Tour,Ed Sheeran,2017-09-12,Omaha,Nebraska,13990.0,1098225.0,2017:Q3,1.0
35,÷ Tour,Ed Sheeran,2017-09-15,Rosemont,Illinois,13173.0,1173940.0,2017:Q3,1.0
36,÷ Tour,Ed Sheeran,2017-09-16,Rosemont,Illinois,13173.0,1173940.0,2017:Q3,1.0
37,÷ Tour,Ed Sheeran,2017-09-19,"Washington, D.C.",District of Columbia,13748.0,1228166.0,2017:Q3,1.0
38,÷ Tour,Ed Sheeran,2017-09-20,"Washington, D.C.",District of Columbia,13748.0,1228166.0,2017:Q3,1.0
39,÷ Tour,Ed Sheeran,2017-09-22,Boston,Massachusetts,12795.0,1147608.0,2017:Q3,1.0
40,÷ Tour,Ed Sheeran,2017-09-23,Boston,Massachusetts,12795.0,1147608.0,2017:Q3,1.0
41,÷ Tour,Ed Sheeran,2017-09-26,Pittsburgh,Pennsylvania,13331.0,1190945.0,2017:Q3,1.0
42,÷ Tour,Ed Sheeran,2017-09-27,Detroit,Michigan,14124.0,1268652.0,2017:Q3,1.0
43,÷ Tour,Ed Sheeran,2017-09-29,Brooklyn,New York,13688.0,1219493.0,2017:Q3,1.0
44,÷ Tour,Ed Sheeran,2017-09-30,Brooklyn,New York,13688.0,1219493.0,2017:Q3,1.0
45,÷ Tour,Ed Sheeran,2017-10-01,Brooklyn,New York,13688.0,1219493.0,2017:Q4,1.0
46,÷ Tour,Ed Sheeran,2017-10-03,Columbus,Ohio,13627.0,1099609.0,2017:Q4,1.0
47,÷ Tour,Ed Sheeran,2017-10-04,Columbus,Ohio,13627.0,1099609.0,2017:Q4,1.0
48,÷ Tour,Ed Sheeran,2017-10-06,Nashville,Tennessee,13860.0,1251904.0,2017:Q4,1.0
49,÷ Tour,Ed Sheeran,2017-10-07,Nashville,Tennessee,13860.0,1251904.0,2017:Q4,1.0
50,÷ Tour,Ed Sheeran,2018-08-18,Pasadena,California,62321.0,6315595.0,2018:Q3,1.0
51,÷ Tour,Ed Sheeran,2018-08-21,San Francisco,California,38647.0,4199073.0,2018:Q3,1.0
52,÷ Tour,Ed Sheeran,2018-08-25,Seattle,Washington,55891.0,4932401.0,2018:Q3,1.0
53,÷ Tour,Ed Sheeran,2018-09-06,St. Louis,Missouri,41522.0,3726270.0,2018:Q3,1.0
54,÷ Tour,Ed Sheeran,2018-09-08,Detroit,Michigan,47804.0,4481289.0,2018:Q3,1.0
55,÷ Tour,Ed Sheeran,2018-09-14,Foxborough,Massachusetts,55119.0,4916274.0,2018:Q3,1.0
56,÷ Tour,Ed Sheeran,2018-09-15,Foxborough,Massachusetts,55119.0,4916274.0,2018:Q3,1.0
57,÷ Tour,Ed Sheeran,2018-09-21,East Rutherford,New Jersey,53750.0,5610103.0,2018:Q3,1.0
58,÷ Tour,Ed Sheeran,2018-09-22,East Rutherford,New Jersey,53750.0,5610103.0,2018:Q3,1.0
59,÷ Tour,Ed Sheeran,2018-09-27,Philadelphia,Pennsylvania,54292.0,5161682.0,2018:Q3,1.0
60,÷ Tour,Ed Sheeran,2018-09-29,Pittsburgh,Pennsylvania,41014.0,4169873.0,2018:Q3,1.0
61,÷ Tour,Ed Sheeran,2018-10-04,Chicago,Illinois,47263.0,4339349.0,2018:Q4,1.0
62,÷ Tour,Ed Sheeran,2018-10-06,Nashville,Tennessee,45888.0,3954931.0,2018:Q4,1.0
63,÷ Tour,Ed Sheeran,2018-10-13,Kansas City,Missouri,51324.0,4008747.0,2018:Q4,1.0
64,÷ Tour,Ed Sheeran,2018-10-17,Fargo,North Dakota,17761.0,1766790.0,2018:Q4,1.0
65,÷ Tour,Ed Sheeran,2018-10-20,Minneapolis,Minnesota,49359.0,4512421.0,2018:Q4,1.0
66,÷ Tour,Ed Sheeran,2018-10-24,Milwaukee,Wisconsin,37288.0,3390498.0,2018:Q4,1.0
67,÷ Tour,Ed Sheeran,2018-10-27,Arlington,Texas,46249.0,4528560.0,2018:Q4,1.0
68,÷ Tour,Ed Sheeran,2018-10-31,New Orleans,Louisiana,42295.0,2827815.0,2018:Q4,1.0
69,÷ Tour,Ed Sheeran,2018-11-03,Houston,Texas,39354.0,3985595.0,2018:Q4,1.0
70,÷ Tour,Ed Sheeran,2018-11-07,Tampa,Florida,51120.0,4197412.0,2018:Q4,1.0
71,÷ Tour,Ed Sheeran,2018-11-09,Atlanta,Georgia,50906.0,5021395.0,2018:Q4,1.0
72,Not in This Lifetime... Tour,Guns N' Roses,2016-06-23,Detroit,Michigan,44439.0,4776767.0,2016:Q2,1.0
73,Not in This Lifetime... Tour,Guns N' Roses,2016-06-26,Landover,Maryland,41208.0,4107027.0,2016:Q2,1.0
74,Not in This Lifetime... Tour,Guns N' Roses,2016-06-29,Kansas City,Missouri,40387.0,3285043.0,2016:Q2,1.0
75,Not in This Lifetime... Tour,Guns N' Roses,2016-07-01,Chicago,Illinois,41086.0,4421842.0,2016:Q3,1.0
76,Not in This Lifetime... Tour,Guns N' Roses,2016-07-03,Chicago,Illinois,41086.0,4421842.0,2016:Q3,1.0
77,Not in This Lifetime... Tour,Guns N' Roses,2016-07-06,Cincinnati,Ohio,32516.0,2857336.0,2016:Q3,1.0
78,Not in This Lifetime... Tour,Guns N' Roses,2016-07-09,Nashville,Tennessee,42824.0,4765878.0,2016:Q3,1.0
79,Not in This Lifetime... Tour,Guns N' Roses,2016-07-12,Pittsburgh,Pennsylvania,39109.0,3810026.0,2016:Q3,1.0
80,Not in This Lifetime... Tour,Guns N' Roses,2016-07-14,Philadelphia,Pennsylvania,49328.0,4883474.0,2016:Q3,1.0
81,Not in This Lifetime... Tour,Guns N' Roses,2016-07-19,Foxborough,Massachusetts,32736.0,4151287.0,2016:Q3,1.0
82,Not in This Lifetime... Tour,Guns N' Roses,2016-07-20,Foxborough,Massachusetts,32736.0,4151287.0,2016:Q3,1.0
83,Not in This Lifetime... Tour,Guns N' Roses,2016-07-23,East Rutherford,New Jersey,50088.0,5843695.0,2016:Q3,1.0
84,Not in This Lifetime... Tour,Guns N' Roses,2016-07-24,East Rutherford,New Jersey,50088.0,5843695.0,2016:Q3,1.0
85,Not in This Lifetime... Tour,Guns N' Roses,2016-07-27,Atlanta,Georgia,41508.0,4544620.0,2016:Q3,1.0
86,Not in This Lifetime... Tour,Guns N' Roses,2016-07-29,Orlando,Florida,40702.0,5852060.0,2016:Q3,1.0
87,Not in This Lifetime... Tour,Guns N' Roses,2016-07-31,New Orleans,Louisiana,32894.0,3447362.0,2016:Q3,1.0
88,Not in This Lifetime... Tour,Guns N' Roses,2016-08-03,Arlington,Texas,39015.0,4786948.0,2016:Q3,1.0
89,Not in This Lifetime... Tour,Guns N' Roses,2016-08-05,Houston,Texas,49778.0,6166657.0,2016:Q3,1.0
90,Not in This Lifetime... Tour,Guns N' Roses,2016-08-09,San Francisco,California,38173.0,5597843.0,2016:Q3,1.0
91,Not in This Lifetime... Tour,Guns N' Roses,2016-08-12,Seattle,Washington,42697.0,5237966.0,2016:Q3,1.0
92,Not in This Lifetime... Tour,Guns N' Roses,2016-08-15,Glendale,Arizona,44110.0,4257189.0,2016:Q3,1.0
93,Not in This Lifetime... Tour,Guns N' Roses,2016-08-18,Los Angeles,California,42317.0,4458879.0,2016:Q3,1.0
94,Not in This Lifetime... Tour,Guns N' Roses,2016-08-19,Los Angeles,California,42317.0,4458879.0,2016:Q3,1.0
95,Not in This Lifetime... Tour,Guns N' Roses,2016-08-22,San Diego,California,49458.0,5337634.0,2016:Q3,1.0
96,Not in This Lifetime... Tour,Guns N' Roses,2017-07-20,New York City,New York,0.0,0.0,2017:Q3,1.0
97,Not in This Lifetime... Tour,Guns N' Roses,2017-07-27,St. Louis,Missouri,36382.0,3533972.0,2017:Q3,1.0
98,Not in This Lifetime... Tour,Guns N' Roses,2017-07-30,Minneapolis,Minnesota,48740.0,5567052.0,2017:Q3,1.0
99,Not in This Lifetime... Tour,Guns N' Roses,2017-08-02,Denver,Colorado,41445.0,3846068.0,2017:Q3,1.0
100,Not in This Lifetime... Tour,Guns N' Roses,2017-08-05,Little Rock,Arkansas,26400.0,1896770.0,2017:Q3,1.0
101,Not in This Lifetime... Tour,Guns N' Roses,2017-08-08,Miami,Florida,37834.0,4102883.0,2017:Q3,1.0
102,Not in This Lifetime... Tour,Guns N' Roses,2017-08-11,Winston-Salem,North Carolina,32847.0,3447947.0,2017:Q3,1.0
103,Not in This Lifetime... Tour,Guns N' Roses,2017-08-13,Hershey,Pennsylvania,31087.0,3500876.0,2017:Q3,1.0
104,Not in This Lifetime... Tour,Guns N' Roses,2017-08-16,Orchard Park,New York,32245.0,2626070.0,2017:Q3,1.0
105,Not in This Lifetime... Tour,Guns N' Roses,2017-09-03,George,Washington,15781.0,1653890.0,2017:Q3,1.0
106,Not in This Lifetime... Tour,Guns N' Roses,2017-09-06,El Paso,Texas,39780.0,3087980.0,2017:Q3,1.0
107,Not in This Lifetime... Tour,Guns N' Roses,2017-09-08,San Antonio,Texas,38490.0,3859017.0,2017:Q3,1.0
108,Not in This Lifetime... Tour,Guns N' Roses,2017-10-08,Philadelphia,Pennsylvania,0.0,0.0,2017:Q4,1.0
109,Not in This Lifetime... Tour,Guns N' Roses,2017-10-11,New York City,New York,41818.0,6160000.0,2017:Q4,1.0
110,Not in This Lifetime... Tour,Guns N' Roses,2017-10-12,Newark,New Jersey,0.0,0.0,2017:Q4,1.0
111,Not in This Lifetime... Tour,Guns N' Roses,2017-10-15,New York City,New York,0.0,0.0,2017:Q4,1.0
112,Not in This Lifetime... Tour,Guns N' Roses,2017-10-16,New York City,New York,0.0,0.0,2017:Q4,1.0
113,Not in This Lifetime... Tour,Guns N' Roses,2017-10-19,"Washington, D.C.",District of Columbia,0.0,0.0,2017:Q4,1.0
114,Not in This Lifetime... Tour,Guns N' Roses,2017-10-22,Boston,Massachusetts,0.0,0.0,2017:Q4,1.0
115,Not in This Lifetime... Tour,Guns N' Roses,2017-10-23,Hartford,Connecticut,0.0,0.0,2017:Q4,1.0
116,Not in This Lifetime... Tour,Guns N' Roses,2017-10-26,Cleveland,Ohio,0.0,0.0,2017:Q4,1.0
117,Not in This Lifetime... Tour,Guns N' Roses,2017-11-02,Detroit,Michigan,0.0,0.0,2017:Q4,1.0
118,Not in This Lifetime... Tour,Guns N' Roses,2017-11-03,Louisville,Kentucky,0.0,0.0,2017:Q4,1.0
119,Not in This Lifetime... Tour,Guns N' Roses,2017-11-06,Chicago,Illinois,0.0,0.0,2017:Q4,1.0
120,Not in This Lifetime... Tour,Guns N' Roses,2017-11-07,Milwaukee,Wisconsin,9723.0,1403070.0,2017:Q4,1.0
121,Not in This Lifetime... Tour,Guns N' Roses,2017-11-10,Houston,Texas,10523.0,1652912.0,2017:Q4,1.0
122,Not in This Lifetime... Tour,Guns N' Roses,2017-11-13,Nashville,Tennessee,10592.0,1523956.0,2017:Q4,1.0
123,Not in This Lifetime... Tour,Guns N' Roses,2017-11-14,Tulsa,Oklahoma,10237.0,1349098.0,2017:Q4,1.0
124,Not in This Lifetime... Tour,Guns N' Roses,2017-11-17,Las Vegas,Nevada,14250.0,2104371.0,2017:Q4,1.0
125,Not in This Lifetime... Tour,Guns N' Roses,2017-11-18,Sacramento,California,12508.0,1691893.0,2017:Q4,1.0
126,Not in This Lifetime... Tour,Guns N' Roses,2017-11-21,Oakland,California,13520.0,1866854.0,2017:Q4,1.0
127,Not in This Lifetime... Tour,Guns N' Roses,2017-11-24,Los Angeles,California,11860.0,1806668.0,2017:Q4,1.0
128,Not in This Lifetime... Tour,Guns N' Roses,2017-11-25,Inglewood,California,27012.0,3400000.0,2017:Q4,1.0
129,Not in This Lifetime... Tour,Guns N' Roses,2017-11-28,San Diego,California,6886.0,1159655.0,2017:Q4,1.0
130,Not in This Lifetime... Tour,Guns N' Roses,2017-11-29,Inglewood,California,0.0,0.0,2017:Q4,1.0
131,Not in This Lifetime... Tour,Guns N' Roses,2018-12-08,Honolulu,Hawaii,22485.0,2113556.0,2018:Q4,1.0
132,Not in This Lifetime... Tour,Guns N' Roses,2019-09-21,Los Angeles,California,0.0,0.0,2019:Q3,1.0
133,Not in This Lifetime... Tour,Guns N' Roses,2019-09-25,Charlotte,North Carolina,13604.0,1999538.0,2019:Q3,1.0
134,Not in This Lifetime... Tour,Guns N' Roses,2019-09-28,Louisville,Kentucky,0.0,0.0,2019:Q3,1.0
135,Not in This Lifetime... Tour,Guns N' Roses,2019-10-01,Jacksonville,Florida,10765.0,1645694.0,2019:Q4,1.0
136,Not in This Lifetime... Tour,Guns N' Roses,2019-10-04,Austin,Texas,0.0,0.0,2019:Q4,1.0
137,Not in This Lifetime... Tour,Guns N' Roses,2019-10-07,Wichita,Kansas,0.0,0.0,2019:Q4,1.0
138,Not in This Lifetime... Tour,Guns N' Roses,2019-10-11,Austin,Texas,0.0,0.0,2019:Q4,1.0
139,Not in This Lifetime... Tour,Guns N' Roses,2019-10-13,Manchester,Tennessee,0.0,0.0,2019:Q4,1.0
140,Not in This Lifetime... Tour,Guns N' Roses,2019-10-15,Lincoln,Nebraska,11263.0,1378675.0,2019:Q4,1.0
141,Not in This Lifetime... Tour,Guns N' Roses,2019-10-23,Oklahoma City,Oklahoma,10905.0,1447993.0,2019:Q4,1.0
142,Not in This Lifetime... Tour,Guns N' Roses,2019-10-25,New Orleans,Louisiana,0.0,0.0,2019:Q4,1.0
143,Not in This Lifetime... Tour,Guns N' Roses,2019-10-29,Salt Lake City,Utah,11084.0,1436175.0,2019:Q4,1.0
144,Not in This Lifetime... Tour,Guns N' Roses,2019-11-01,Las Vegas,Nevada,4164.0,1398472.0,2019:Q4,1.0
145,Not in This Lifetime... Tour,Guns N' Roses,2019-11-02,Las Vegas,Nevada,4164.0,1398472.0,2019:Q4,1.0
146,A Head Full of Dreams Tour,Coldplay,2016-07-16,East Rutherford,New Jersey,50381.0,5374697.0,2016:Q3,1.0
147,A Head Full of Dreams Tour,Coldplay,2016-07-17,East Rutherford,New Jersey,50381.0,5374697.0,2016:Q3,1.0
148,A Head Full of Dreams Tour,Coldplay,2016-07-20,Indianapolis,Indiana,12667.0,1460006.0,2016:Q3,1.0
149,A Head Full of Dreams Tour,Coldplay,2016-07-21,St. Louis,Missouri,13960.0,1547633.0,2016:Q3,1.0
150,A Head Full of Dreams Tour,Coldplay,2016-07-23,Chicago,Illinois,47661.0,5107786.0,2016:Q3,1.0
151,A Head Full of Dreams Tour,Coldplay,2016-07-24,Chicago,Illinois,47661.0,5107786.0,2016:Q3,1.0
