,Tour,Artist,Date,City,State,Attendance (Avg.),Revenue (Avg.),Quarter,Count
152,A Head Full of Dreams Tour,Coldplay,2016-07-27,Louisville,Kentucky,13755.0,1520726.0,2016:Q3,1.0
153,A Head Full of Dreams Tour,Coldplay,2016-07-28,Columbus,Ohio,15530.0,1933346.0,2016:Q3,1.0
154,A Head Full of Dreams Tour,Coldplay,2016-07-30,Foxborough,Massachusetts,54952.0,6530260.0,2016:Q3,1.0
155,A Head Full of Dreams Tour,Coldplay,2016-08-01,Buffalo,New York,15100.0,1878324.0,2016:Q3,1.0
156,A Head Full of Dreams Tour,Coldplay,2016-08-03,Auburn Hills,Michigan,15436.0,1731667.0,2016:Q3,1.0
157,A Head Full of Dreams Tour,Coldplay,2016-08-04,Pittsburgh,Pennsylvania,14360.0,1614917.0,2016:Q3,1.0
158,A Head Full of Dreams Tour,Coldplay,2016-08-06,Philadelphia,Pennsylvania,54497.0,5530866.0,2016:Q3,1.0
159,A Head Full of Dreams Tour,Coldplay,2016-08-20,Pasadena,California,60031.0,5457449.0,2016:Q3,1.0
160,A Head Full of Dreams Tour,Coldplay,2016-08-21,Pasadena,California,60031.0,5457449.0,2016:Q3,1.0
161,A Head Full of Dreams Tour,Coldplay,2016-08-23,Glendale,Arizona,14427.0,1776867.0,2016:Q3,1.0
162,A Head Full of Dreams Tour,Coldplay,2016-08-25,Tulsa,Oklahoma,13234.0,1578961.0,2016:Q3,1.0
163,A Head Full of Dreams Tour,Coldplay,2016-08-27,Arlington,Texas,52538.0,5679031.0,2016:Q3,1.0
164,A Head Full of Dreams Tour,Coldplay,2016-08-29,Denver,Colorado,15664.0,1902639.0,2016:Q3,1.0
165,A Head Full of Dreams Tour,Coldplay,2016-08-31,Salt Lake City,Utah,15645.0,1871968.0,2016:Q3,1.0
166,A Head Full of Dreams Tour,Coldplay,2016-09-01,Paradise,Nevada,15898.0,2124032.0,2016:Q3,1.0
167,A Head Full of Dreams Tour,Coldplay,2016-09-03,Santa Clara,California,52404.0,5990660.0,2016:Q3,1.0
168,A Head Full of Dreams Tour,Coldplay,2016-09-04,Philadelphia,Pennsylvania,0.0,0.0,2016:Q3,1.0
169,A Head Full of Dreams Tour,Coldplay,2017-08-01,East Rutherford,New Jersey,54501.0,7861460.0,2017:Q3,1.0
170,A Head Full of Dreams Tour,Coldplay,2017-08-04,Foxborough,Massachusetts,52188.0,6263906.0,2017:Q3,1.0
171,A Head Full of Dreams Tour,Coldplay,2017-08-06,Landover,Maryland,48380.0,4823333.0,2017:Q3,1.0
172,A Head Full of Dreams Tour,Coldplay,2017-08-12,Minneapolis,Minnesota,47472.0,4325230.0,2017:Q3,1.0
173,A Head Full of Dreams Tour,Coldplay,2017-08-14,Omaha,Nebraska,13009.0,1434880.0,2017:Q3,1.0
174,A Head Full of Dreams Tour,Coldplay,2017-08-15,Kansas City,Missouri,12971.0,1736224.0,2017:Q3,1.0
175,A Head Full of Dreams Tour,Coldplay,2017-08-17,Chicago,Illinois,52726.0,6026402.0,2017:Q3,1.0
176,A Head Full of Dreams Tour,Coldplay,2017-08-19,Cleveland,Ohio,15963.0,2302868.0,2017:Q3,1.0
177,A Head Full of Dreams Tour,Coldplay,2017-08-28,Miami Gardens,Florida,47866.0,6446966.0,2017:Q3,1.0
178,A Head Full of Dreams Tour,Coldplay,2017-09-22,Paradise,Nevada,0.0,0.0,2017:Q3,1.0
179,A Head Full of Dreams Tour,Coldplay,2017-09-23,Seattle,Washington,49031.0,5181106.0,2017:Q3,1.0
180,A Head Full of Dreams Tour,Coldplay,2017-10-02,Portland,Oregon,14965.0,2121648.0,2017:Q4,1.0
181,A Head Full of Dreams Tour,Coldplay,2017-10-04,Santa Clara,California,48341.0,5265835.0,2017:Q4,1.0
182,A Head Full of Dreams Tour,Coldplay,2017-10-06,Pasadena,California,64442.0,6051529.0,2017:Q4,1.0
183,A Head Full of Dreams Tour,Coldplay,2017-10-08,San Diego,California,54279.0,5955986.0,2017:Q4,1.0
184,WorldWired Tour,Metallica,2016-02-06,San Francisco,California,41119.0,4341114.0,2016:Q1,1.0
185,WorldWired Tour,Metallica,2016-08-20,Minneapolis,Minnesota,48492.0,5158790.0,2016:Q3,1.0
186,WorldWired Tour,Metallica,2016-09-24,New York City,New York,,,2016:Q3,1.0
187,WorldWired Tour,Metallica,2016-09-27,New York City,New York,,,2016:Q3,1.0
188,WorldWired Tour,Metallica,2016-10-22,Mountain View,California,,,2016:Q4,1.0
189,WorldWired Tour,Metallica,2016-10-23,Mountain View,California,,,2016:Q4,1.0
190,WorldWired Tour,Metallica,2017-02-12,Los Angeles,California,,,2017:Q1,1.0
191,WorldWired Tour,Metallica,2017-05-10,Baltimore,Maryland,55705.0,5970421.0,2017:Q2,1.0
192,WorldWired Tour,Metallica,2017-05-12,Philadelphia,Pennsylvania,49722.0,5421187.0,2017:Q2,1.0
193,WorldWired Tour,Metallica,2017-05-14,East Rutherford,New Jersey,46941.0,5196437.0,2017:Q2,1.0
194,WorldWired Tour,Metallica,2017-05-17,Uniondale,New York,14941.0,2198951.0,2017:Q2,1.0
195,WorldWired Tour,Metallica,2017-05-19,Foxborough,Massachusetts,47778.0,6095723.0,2017:Q2,1.0
196,WorldWired Tour,Metallica,2017-05-21,Columbus,Ohio,29962.0,3960421.0,2017:Q2,1.0
197,WorldWired Tour,Metallica,2017-06-04,St. Louis,Missouri,38778.0,4192393.0,2017:Q2,1.0
198,WorldWired Tour,Metallica,2017-06-07,Denver,Colorado,57955.0,5884163.0,2017:Q2,1.0
199,WorldWired Tour,Metallica,2017-06-09,Newton,Iowa,,,2017:Q2,1.0
200,WorldWired Tour,Metallica,2017-06-11,Houston,Texas,46720.0,4854471.0,2017:Q2,1.0
201,WorldWired Tour,Metallica,2017-06-14,San Antonio,Texas,45343.0,4527655.0,2017:Q2,1.0
202,WorldWired Tour,Metallica,2017-06-16,Arlington,Texas,45860.0,4247778.0,2017:Q2,1.0
203,WorldWired Tour,Metallica,2017-06-18,Chicago,Illinois,51041.0,5313715.0,2017:Q2,1.0
204,WorldWired Tour,Metallica,2017-07-05,Orlando,Florida,49961.0,5613708.0,2017:Q3,1.0
205,WorldWired Tour,Metallica,2017-07-07,Miami Gardens,Florida,42168.0,4163523.0,2017:Q3,1.0
206,WorldWired Tour,Metallica,2017-07-09,Atlanta,Georgia,39024.0,4531443.0,2017:Q3,1.0
207,WorldWired Tour,Metallica,2017-07-12,Detroit,Michigan,40573.0,4501650.0,2017:Q3,1.0
208,WorldWired Tour,Metallica,2017-07-29,Pasadena,California,63285.0,6684282.0,2017:Q3,1.0
209,WorldWired Tour,Metallica,2017-08-04,Glendale,Arizona,52926.0,5246586.0,2017:Q3,1.0
210,WorldWired Tour,Metallica,2017-08-06,San Diego,California,43491.0,4846411.0,2017:Q3,1.0
211,WorldWired Tour,Metallica,2017-08-09,Seattle,Washington,47175.0,4944489.0,2017:Q3,1.0
212,WorldWired Tour,Metallica,2017-08-12,San Francisco,California,,,2017:Q3,1.0
213,WorldWired Tour,Metallica,2018-09-02,Madison,Wisconsin,16137.0,1995140.0,2018:Q3,1.0
214,WorldWired Tour,Metallica,2018-09-04,Minneapolis,Minnesota,17873.0,2407742.0,2018:Q3,1.0
215,WorldWired Tour,Metallica,2018-09-06,Lincoln,Nebraska,14950.0,1825630.0,2018:Q3,1.0
216,WorldWired Tour,Metallica,2018-09-08,Grand Forks,North Dakota,16970.0,1912505.0,2018:Q3,1.0
217,WorldWired Tour,Metallica,2018-09-11,Sioux Falls,South Dakota,12018.0,1494540.0,2018:Q3,1.0
218,WorldWired Tour,Metallica,2018-10-06,Austin,Texas,,,2018:Q4,1.0
219,WorldWired Tour,Metallica,2018-10-13,Austin,Texas,,,2018:Q4,1.0
220,WorldWired Tour,Metallica,2018-10-16,Milwaukee,Wisconsin,17091.0,2185835.0,2018:Q4,1.0
221,WorldWired Tour,Metallica,2018-10-18,Pittsburgh,Pennsylvania,18502.0,2359924.0,2018:Q4,1.0
222,WorldWired Tour,Metallica,2018-10-20,University Park,Pennsylvania,15588.0,1919035.0,2018:Q4,1.0
223,WorldWired Tour,Metallica,2018-10-22,Charlotte,North Carolina,17718.0,2085875.0,2018:Q4,1.0
224,WorldWired Tour,Metallica,2018-10-25,Philadelphia,Pennsylvania,18545.0,2163595.0,2018:Q4,1.0
225,WorldWired Tour,Metallica,2018-10-27,Buffalo,New York,18542.0,2290542.0,2018:Q4,1.0
226,WorldWired Tour,Metallica,2018-10-29,Albany,New York,15661.0,1936231.0,2018:Q4,1.0
227,WorldWired Tour,Metallica,2018-11-26,Las Vegas,Nevada,19032.0,2551915.0,2018:Q4,1.0
228,WorldWired Tour,Metallica,2018-11-28,Boise,Idaho,11868.0,1454270.0,2018:Q4,1.0
229,WorldWired Tour,Metallica,2018-11-30,Salt Lake City,Utah,16215.0,2026905.0,2018:Q4,1.0
230,WorldWired Tour,Metallica,2018-12-02,Spokane,Washington,12854.0,1597670.0,2018:Q4,1.0
231,WorldWired Tour,Metallica,2018-12-05,Portland,Oregon,18273.0,2285680.0,2018:Q4,1.0
232,WorldWired Tour,Metallica,2018-12-07,Sacramento,California,16591.0,2069225.0,2018:Q4,1.0
233,WorldWired Tour,Metallica,2018-12-09,Fresno,California,14854.0,1855485.0,2018:Q4,1.0
