,date,The Rolling Stones,Alphabet
244,2019-09-08,5,20
245,2019-09-15,5,23
246,2019-09-22,5,28
247,2019-09-29,5,26
248,2019-10-06,3,22
249,2019-10-13,5,24
250,2019-10-20,5,24
251,2019-10-27,4,25
252,2019-11-03,3,23
253,2019-11-10,5,23
254,2019-11-17,5,25
255,2019-11-24,4,17
256,2019-12-01,6,18
257,2019-12-08,4,21
258,2019-12-15,5,22
259,2019-12-22,4,11
260,2019-12-29,4,19
