,date,The Rolling Stones,Alphabet
244,2019-09-08,6,48
245,2019-09-15,9,63
246,2019-09-22,13,49
247,2019-09-29,10,47
248,2019-10-06,6,47
249,2019-10-13,7,57
250,2019-10-20,12,36
251,2019-10-27,11,60
252,2019-11-03,9,43
253,2019-11-10,5,51
254,2019-11-17,14,52
255,2019-11-24,15,39
256,2019-12-01,4,41
257,2019-12-08,14,55
258,2019-12-15,12,49
259,2019-12-22,13,31
260,2019-12-29,6,48
