,date,The Rolling Stones,Alphabet
244,2019-09-08,8,30
245,2019-09-15,8,26
246,2019-09-22,10,29
247,2019-09-29,8,31
248,2019-10-06,7,30
249,2019-10-13,7,28
250,2019-10-20,6,24
251,2019-10-27,7,32
252,2019-11-03,6,28
253,2019-11-10,7,30
254,2019-11-17,6,26
255,2019-11-24,8,22
256,2019-12-01,8,27
257,2019-12-08,7,28
258,2019-12-15,8,28
259,2019-12-22,8,23
260,2019-12-29,8,23
