,date,The Rolling Stones,Alphabet
244,2019-09-08,2,15
245,2019-09-15,2,12
246,2019-09-22,3,14
247,2019-09-29,2,14
248,2019-10-06,3,14
249,2019-10-13,3,11
250,2019-10-20,3,14
251,2019-10-27,3,15
252,2019-11-03,3,12
253,2019-11-10,3,14
254,2019-11-17,3,13
255,2019-11-24,3,9
256,2019-12-01,3,13
257,2019-12-08,3,12
258,2019-12-15,3,11
259,2019-12-22,3,9
260,2019-12-29,7,11
