,date,Pink,Alphabet
245,2019-09-15,16,43
246,2019-09-22,12,46
247,2019-09-29,17,47
248,2019-10-06,20,43
249,2019-10-13,15,48
250,2019-10-20,8,50
251,2019-10-27,10,55
252,2019-11-03,21,55
253,2019-11-10,30,51
254,2019-11-17,10,45
255,2019-11-24,17,41
256,2019-12-01,18,43
257,2019-12-08,19,44
258,2019-12-15,8,48
259,2019-12-22,9,29
260,2019-12-29,10,32
