,date,Pink,Alphabet
245,2019-09-15,16,38
246,2019-09-22,15,43
247,2019-09-29,16,45
248,2019-10-06,18,44
249,2019-10-13,14,41
250,2019-10-20,9,35
251,2019-10-27,10,47
252,2019-11-03,18,41
253,2019-11-10,27,45
254,2019-11-17,13,38
255,2019-11-24,16,33
256,2019-12-01,17,39
257,2019-12-08,13,40
258,2019-12-15,8,42
259,2019-12-22,11,34
260,2019-12-29,9,33
