,date,The Rolling Stones,Alphabet
244,2019-09-08,6,49
245,2019-09-15,0,27
246,2019-09-22,11,40
247,2019-09-29,5,43
248,2019-10-06,15,29
249,2019-10-13,10,31
250,2019-10-20,12,52
251,2019-10-27,11,33
252,2019-11-03,15,47
253,2019-11-10,0,38
254,2019-11-17,11,41
255,2019-11-24,15,32
256,2019-12-01,14,35
257,2019-12-08,0,19
258,2019-12-15,5,36
259,2019-12-22,7,24
260,2019-12-29,21,31
