,date,Pink,Alphabet
245,2019-09-15,17,37
246,2019-09-22,13,40
247,2019-09-29,16,36
248,2019-10-06,19,35
249,2019-10-13,13,36
250,2019-10-20,10,35
251,2019-10-27,10,41
252,2019-11-03,14,37
253,2019-11-10,30,36
254,2019-11-17,10,37
255,2019-11-24,20,30
256,2019-12-01,20,40
257,2019-12-08,16,29
258,2019-12-15,7,31
259,2019-12-22,7,24
260,2019-12-29,8,29
